Name,Description,Tactics,Type,Tier,Diff,Bonus,Attack,Distance,Damage,Effect,Major,Severe,HP,Stress,Experiences,Feature1,Action1,Text1,Quote1,Feature2,Action2,Text2,Quote2,Feature3,Action3,Text3,Quote3,Feature4,Action4,Text4,Quote4,Feature5,Action5,Text5,Quote5,Feature6,Action6,Text6,Quote6,Feature7,Action7,Text7,Quote7
Jagged Knife Shadow,A nimble scoundrel bearing a wicked knife and utilizing shadow magic to isolate targets.,"Ambush, Conceal, Divide, Profit",Skulk,1,12,1,Daggers,Melee,2d4+5,phy,4,8,3,3,Intrusion +3,Backstab,Passive,"On a successful Daggers attack that has advantage, deal 2d6+8 phy damage instead.",“They exploit your weakness and hit you where it hurts.”,Cloaked,Action,Become Hidden until after this adversary’s next attack. Any attacks made while Hidden have advantage.,“They can disappear in plain sight.”,,,,,,,,,,,,,,,,,,,,
Jagged Knife Sniper,A lanky bandit striking from cover with a shortbow.,"Hide, Ambush, Profit, Reposition",Ranged,1,13,-1,Shortbow,Far,2d6+3,phy,4,7,3,2,Stealth +2,Unseen Strike,Passive,"If the Sniper is Hidden when they hit an enemy, the attack deals 2d8+5 phy instead of their normal damage.","“From the shadows, an arrow with deadly aim flies towards you.”",,,,,,,,,,,,,,,,,,,,,,,,
Merchant,A finely dressed trader with a keen eye for profit.,"Buy Low/Sell High, Create Demand, Inflate Prices, Seek Profit",Social,1,10,-4,Club,Melee,1d4+1,phy,4,8,3,3,Shrewd Negotiator +5,Preferential Treatment,Passive,A character that succeeds at a social action against the Merchant gains a discount on purchases. Any character that fails on a social action against the merchant must pay more and is at disadvantage on future social actions against the Merchant.,“There’s an added service fee for enemies.”,The Run-Around,Passive,Any Presence roll made against the Merchant below 15 causes the character to mark a Stress.,“You can’t swindle a professional swindler.”,,,,,,,,,,,,,,,,,,,,
Minor Chaos Elemental,A coruscating mass of uncontrollable magic.,"Confound, Destabilize, Transmogrify",Solo,1,14,3,Warp Blast,Close,2d10,mag,7,14,6,3,,Arcane Form,Passive,This adversary is resistant to magic damage.,“You watch as some of your magic is reflected off of the chaos.”,Magical Reflection,Reaction,"When this adversary takes damage, deal half that damage to the attacker if they are within Close range.","“The harder you hit it, the more force is blasted back at you.”",Sickening Flux,Action,Mark a Hit Point to cause all PCs within Close range to mark a Stress and become Vulnerable until their next short rest or they have a Stress cleared.,“Your stomach drops and your head swims.”,Remake Reality,Action,Spend a Fear to transform the area within Very Close range into a different biome. Any other creature within this area takes 2d6+3 direct damage.,"“You feel the world twist around you, your mind reeling.”",,,,,,,,,,,,
Minor Demon,"A crimson-hued creature from the realms below, consumed by rage against all mortals.","Torment, Corral Targets, Relish Pain, Act Erratically",Solo,1,14,3,Claws,Melee,2d6+6,phy,8,15,7,4,,Relentless (2),Passive,This adversary may activate twice in a GM move.,“They move with incredible speed.”,All Must Fall,Passive,Any PC that rolls a failure with Fear within a Close distance of Minor Demon loses Hope.,“Light around you seems to dim as the fight becomes more dire.”,Reaper,Reaction,"When rolling damage, mark a Stress to add the Demon’s current number of marked Hit Points to the value of the damage inflicted.","“As hard as you’ve hit, the demon hits back harder.”",Hellfire,Action,Fear Spend a Fear to rain hellfire on everything within Far range. All targets within the area must make an Agility Reaction Roll (14) or take 3d4+12 mag damage. Targets that succeed take half damage.,“You smell smoke as the sky above you fills with streaks of fire.”,,,,,,,,,,,,
Minor Fire Elemental,A living flame the size of a large bonfire.,"Start Fires, Encircle Enemies, Grow in Size, Intimidate",Solo,1,13,3,Elemental Blast,Far,3d6,mag,7,15,7,3,,Relentless (2),Passive,This adversary may activate twice in a GM move.,“They move with incredible speed.”,Consume Kindling,Reaction,"When you move onto any objects that are highly flammable, consume them to clear 1 HP or 1 Stress. You may do this three times a scene.","“The Elemental spits with fire, consuming the barrels beneath it, growing stronger.”",Scorched Earth,Action,"Mark a Stress to choose a point within Far range. The ground within Very Close range of that point immediately bursts into flames. Anyone within this area must make an Agility Reaction Roll (13), or take 2d6+5 magic damage from the flames. On a success, they take half damage instead.","“The ground glows red hot around you, suddenly bursting into flames.”",Explosion,Action,Spend a Fear to erupt in a fiery explosion. Make an attack against all targets within Close range. Any you succeed against are thrown back to Far range and take 3d4+10 mag damage. Armor is half as effective against this damage.,"“A massive, fiery explosion rocks the battlefield.”",,,,,,,,,,,,
Minor Treant,An ambulatory sapling rising up to defend their forest.,"Crush, Overwhelm, Protect",Minion,1,10,-2,Clawed Branch:,Melee,4,phy,,,1,1,Nature’s Friend +1,Minion (4),Passive,"This adversary is defeated if they take any damage. For every 4 damage a PC deals to this adversary, defeat an additional minion in the attack’s range.","“You cut through them effortlessly, one to the next.”",Group Attack,Action (2),"Choose a target and activate all Minor Treants within Close range of them. Those minions move into melee with the target and make one shared attack roll. On a success, they each deal 4 phy damage.","“They descend on you, stronger together.”",,,,,,,,,,,,,,,,,,,,
Patchwork Zombie Hulk,"A towering gestalt of corpses moving as one, with torso-sized limbs and fists as large as a grown halfling.","Hunger, Flail, Absorb Corpses, Terrify",Solo,1,13,4,Too Many Arms,Very Close,3d4+10,phy,8,15,9,3,"Tear Things Apart +2, Intimidation +2",Destructible,Passive,"Whenever Patchwork Zombie takes Major damage or worse, it marks +1 HP.","“Your blows land harder than expected, limbs and torsos falling from the creature.”",Flailing Limbs,Passive,"When Patchwork Zombie Hulk makes an attack, it targets all opponents within Very Close range.","“It attacks in every direction, torso-sized limbs flailing.”",Another For The Pile,Action,"If the Patchwork Zombie Hulk is within Very Close of a corpse, it presses the cadaver to itself and incorporates it into the Hulk’s form, healing 1 HP and clearing 1 Stress.","“The hulk grabs the dead and swallows them, replacing some of its wounds and growing more energetic.”",Tormented Screams,Action,Mark Stress to cause all PCs within Far range to make a reaction roll (Presence 13) or lose a Hope and add a token to the action tracker. PCs that succeed mark Stress instead.,,,,,,,,,,,,,
Petty Noble,A richly-dressed and adorned aristocrat brimming with hubris.,"Gather Resources, Mobilize Minions, Abuse Power",Social,1,12,-3,Rapier,Melee,2d4+2,phy,6,10,3,5,Aristocrat +5,"My Land, My Rules",Passive,All social actions against the Petty Noble on their land are made at disadvantage.,“You’re a guest in my home!”,"Guards, Seize Them!",Action,"Once per scene, mark a Stress to summon 1d4 Bladed Guards to enforce the Noble’s will.",“You had no idea the suits of armor lining the hall were guards.”,Exile,Action,"Fear Petty Noble proclaims that a PC and their close associates are exiled from the noble’s territory. While exiled, the target has disadvantage in all social situations within the Noble’s domain.",“Be gone!”,,,,,,,,,,,,,,,,
Pirate Captain,"A charismatic sea dog with an impressive hat, eager to raid and plunder.","Command, Raid, Plunder, Make ‘em Walk the Plank",Leader,1,14,4,Cutlass,Melee,2d8,phy,7,14,7,5,"Sailor +3, Command +2",Swashbuckler,Passive,Any incoming damage below 14 causes the attacker to mark a Stress.,“You begin to realize: you might not win this fight.”,Reinforcements,Action,Mark a Stress to summon a Pirate Raiders Horde that enters at Far range. This can only be done once per scene.,"“The captain whistles, and more pirates pour out from the ship’s hold.”",No Quarter,Action,Spend a Fear to choose a target who has more than two pirates within melee range of them. The Captain leads the pirates in hurling threats and promises of a watery grave. The target must make a Presence Reaction Roll or suffer 1d4+1 Stress. They still mark a Stress on a success.,"“This is a battle of blades and of insults, it seems.”",,,,,,,,,,,,,,,,
Pirate Raiders,Seafaring scoundrels moving in a ravaging pack.,"Gang Up, Raid, Plunder",Horde (3/HP),1,12,1,Cutlass,Melee,2d8+5,phy,5,11,4,3,Sailor +3,Swashbuckler,Passive,Any incoming damage below 11 causes the attacker to mark a Stress.,“You begin to realize: you might not win this fight.”,Horde (2d4+3),Passive,"If a Pirate Raider has marked 2 or more of its HP, they deal 2d4+3 phy instead of their normal damage.","“With their numbers dwindling, they don’t pose as much of a threat.”",,,,,,,,,,,,,,,,,,,,
Pirate Tough,A thickly-muscled and tattooed pirate with melon-sized fists.,"Raid, Plunder, Smash, Terrorize",Bruiser,1,13,1,Massive Fists,Melee,3d4+11,phy,8,15,5,3,Sailor +2,Swashbuckler,Passive,Any incoming damage below 15 causes the attacker to mark a Stress.,“You begin to realize: you might not win this fight.”,Clear The Decks,Action,"Make an attack against a target within Very Close range. On a success, mark a Stress to move into melee with them and deal 2d6+10 damage. The target is then thrown back to a Close distance.","“The ship rocks, sending you sprawling.”",,,,,,,,,,,,,,,,,,,,
Red Ooze,A moving mound of translucent flaming red slime.,"Ignite, Start Fires, Camouflage, Consume & Multiply",Skulk,1,10,1,Ooze Appendage,Melee,2d6+3,mag,6,11,5,3,Camouflage +3,Creeping Fire,Action,This adversary can only move Very Close range when it activates. It lights any flammable object it touches on fire.,"“It creeps towards you, the ground around it erupting into flames.”",Ignite,Action,"Make an attack against a target in Very Close range. On a success, they burst into flames, taking 1d8+1 mag damage immediately and 2d4+2 direct magic damage every time a token is placed on the action tracker. This ends when they are extinguished with a Finesse Roll (14).","“You feel fire at your feet, and suddenly, you’re engulfed.”",Split,Reaction,"When this adversary marks its 3rd Hit Point, spend a Fear to split it into two Tiny Red Oozes (with no marked Hit Points or Stress). They may immediately activate without spending tokens.",“You watch as the damage you’ve done splits it in half… becoming two oozes instead of one.”,,,,,,,,,,,,,,,,
Rotted Zombie,A decaying corpse ambling toward its prey.,"Hunger, Maul, Surround, Eat Flesh",Standard,1,8,-3,Bite,Melee,4,phy,,,1,1,,Minion (4),Passive,"This adversary is defeated if they take any damage. For every 4 damage a PC deals to this adversary, defeat an additional minion in the attack’s range.",“You hack through multiple bodies in the tight press of the undead.”,Group Attack,Action (2),"Choose a target and activate all Rotten Zombies within Close range of them. Those minions move into melee with the target and make one shared attack roll. On a success, they deal 4 phy damage each. Combine this damage together.","“Though zombies move forward mindlessly, seeming to attack in a coordinated effort of instinct.”",,,,,,,,,,,,,,,,,,,,
Sellsword,An armed mercenary testing their luck.,"Charge, Overwhelm, Lacerate, Profit",Minion,1,10,0,Longsword,Melee,4,phy,,,1,1,,Minion (4),Passive,"This adversary is defeated if they take any damage. For every 4 damage a PC deals to this adversary, defeat an additional minion in the attack’s range.","“You cut through them effortlessly, one to the next.”",Group Attack,Action (2),"Choose a target and activate all Sellswords within Close range of them. Those minions move into melee with the target and make one shared attack roll. On a success, they deal 4 phy damage each. Combine this damage together.","“They descend on you, stronger together.”",,,,,,,,,,,,,,,,,,,,
Shambling Zombie,"An animated corpse that moves shakily, driven only by hunger.","Hunger, Mob Enemy, Shred Flesh, Devour",Standard,1,10,0,Bite,Melee,1d8+7,phy,4,6,4,1,,Too Many to Handle,Passive,"If Shambling Zombie is in melee range with an opponent and at least one other Zombie is within Close range, all attacks against that opponent have advantage.",“You no longer know where to look as more zombies surround you.”,Horrifying,Passive,"When this creature deals hit point damage to a target, the target also marks Stress.",“A cold shiver goes down your spine as you face off against the corpse of someone you knew.”,,,,,,,,,,,,,,,,,,,,
Skeleton Archer,A clattering pile of bones.,"Play Dead, Overwhelm, Fall Apart, Steal Skin",Ranged,1,9,2,Shortbow,Far,2d8+3,phy,4,7,3,2,,Opportunist,Passive,"When two or more adversaries are very close to a target, all damage the archer deals to them is doubled.","“Seeing their opportunity, they pull back and let loose an arrow.”",Deadly Shot,Action,"Make an attack against a Vulnerable target within Far range. On a success, mark a Stress to deal 3d4+8 damage.","“Their arrow finds you, exploiting your vulnerability to sink itself deep.”",,,,,,,,,,,,,,,,,,,,
Skeleton Dredge,A clattering pile of bones.,"Play Dead, Overwhelm, Fall Apart, Steal Skin",Minion,1,8,-1,Bone Claws,Melee,3,phy,,,1,1,,Minion (4),Passive,"This adversary is defeated if they take any damage. For every 4 damage a PC deals to this adversary, defeat an additional minion in the attack’s range.","“You cut through them effortlessly, one to the next.”",Group Attack,Action (2),"Choose a target and activate all Skeleton Dredges within Close range of them. Those minions move into melee with the target and make one shared attack roll. On a success, they deal 3 phy damage each. Combine this damage together.","“They descend on you, stronger together.”",,,,,,,,,,,,,,,,,,,,
Skeleton Knight,A dirt-covered skeleton armed with a rusted blade.,"Gang Up, Feign Death, Steal Skin",Bruiser,1,13,2,Rusty Greatsword,Melee,2d8+5,phy,7,13,5,2,,Cut to the Bone,Action,Mark a Stress to make a Rusty Greatsword attack against all enemies within Very Close range. Each target this succeeds against takes 2d8+5 phy and marks a Stress.,“They swing their sword around them with unexpected power.”,Dig Two Graves,Reaction,"When this adversary is killed, before it dies, it makes an attack against an enemy within Very Close range (prioritizing the enemy that killed it). On success, the target takes 3d4+8 phy damage and loses 1d4 Hope.","“With its last moment of strength, the bone knight strikes out at you.”",,,,,,,,,,,,,,,,,,,,
Skeleton Warrior,A dirt-covered skeleton armed with a rusted blade.,"Gang Up, Feign Death, Steal Skin",Standard,1,10,0,Sword,Melee,2d6+2,phy,4,8,3,2,,Only Bones,Passive,This creature is resistant to physical damage.,"“Your weapon slides through their ribs, no skin to pierce. ”",Won’t Stay Dead,Reaction,"After this adversary has marked its last hit point, you may still activate it to roll 1d6. On a 6, if there are any other adversaries still on the battlefield, this adversary reforms itself and returns to battle with no hit points marked.","“The pile of bones reforms itself, rising up to fight again.”",,,,,,,,,,,,,,,,,,,,
